id,Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
55,Bachelor's,Business,"Data Analysis, Counseling, Accounting",Google Data Analytics,95,Professor
56,Bachelor's,Finance,"Marketing, Financial Analysis, Communication",Tally ERP,68,Financial Analyst
57,PhD,Computer Science,"Counseling, Machine Learning",Tally ERP,81,Software Engineer
58,PhD,Commerce,"Marketing, Machine Learning",Digital Marketing,91,Software Engineer
59,Master's,Finance,"Machine Learning, Marketing",Tally ERP,66,Marketing Executive
60,Intermediate,Psychology,MS Office,Mental Health Basics,81,Research Scientist
61,PhD,Business,"Counseling, Accounting, Financial Analysis",Mental Health Basics,69,ML Engineer
62,Master's,Computer Science,"SQL, Counseling, Marketing",Tally ERP,78,Marketing Executive
63,PhD,Computer Science,"SQL, MS Office, Marketing",Tally ERP,82,Software Engineer
64,Master's,Finance,Financial Analysis,Mental Health Basics,90,Junior Accountant
65,Master's,Engineering,Machine Learning,None,79,Marketing Executive
66,Bachelor's,Commerce,Counseling,CFA Level 1,80,Research Scientist
67,Master's,Commerce,"Python, Counseling, Marketing",Tally ERP,77,Data Entry Operator
68,Intermediate,Psychology,"Machine Learning, Financial Analysis, SQL",Digital Marketing,67,Junior Accountant
69,Master's,Computer Science,"MS Office, Counseling",CFA Level 1,90,Financial Analyst
70,PhD,Business,"Machine Learning, Financial Analysis, MS Office",Digital Marketing,68,Professor
71,Master's,Finance,"Python, Counseling",AWS Certified,79,Junior Accountant
72,Intermediate,Science,"Communication, Counseling, Marketing",Mental Health Basics,94,Data Entry Operator
73,Bachelor's,Computer Science,"Counseling, Data Analysis",Mental Health Basics,61,Marketing Executive
74,Intermediate,Finance,Python,Tally ERP,63,Data Entry Operator
75,Matric,Business,Accounting,CFA Level 1,71,Clerk
76,Matric,Business,"Counseling, Communication, Financial Analysis",Creative Writing,83,ML Engineer
77,PhD,Psychology,"Financial Analysis, Data Analysis",Tally ERP,88,Business Analyst
78,Bachelor's,Finance,MS Office,AWS Certified,67,Professor
79,Master's,Science,"Machine Learning, Python",Tally ERP,60,ML Engineer
80,PhD,Psychology,Financial Analysis,Digital Marketing,72,Professor
81,Bachelor's,Psychology,"SQL, Counseling, MS Office",CFA Level 1,90,Clerk
82,Bachelor's,Finance,"Python, Accounting, Communication",CFA Level 1,93,Research Scientist
83,Matric,Psychology,"Counseling, Communication, Financial Analysis",Mental Health Basics,81,Business Analyst
84,Matric,Psychology,"Data Analysis, Marketing, Python",Tally ERP,73,Data Entry Operator
85,Master's,Finance,Data Analysis,Tally ERP,82,Junior Accountant
86,Master's,Arts,"Accounting, Financial Analysis, SQL",Tally ERP,62,Research Scientist
87,Intermediate,Finance,"Marketing, Communication, Data Analysis",Digital Marketing,67,Data Entry Operator
88,Matric,Computer Science,"Counseling, Marketing",None,95,Software Engineer
89,Intermediate,Computer Science,"Counseling, SQL, Python",AWS Certified,86,Clerk
90,Master's,Arts,"Accounting, Python",Creative Writing,86,Clerk
91,Master's,Science,"Communication, Data Analysis",AWS Certified,85,School Counselor
92,Bachelor's,Psychology,"SQL, Data Analysis",Google Data Analytics,73,ML Engineer
93,Bachelor's,Commerce,Data Analysis,Tally ERP,66,Sales Assistant
94,Bachelor's,Engineering,"Accounting, MS Office",AWS Certified,80,School Counselor
95,Master's,Arts,SQL,None,87,Data Entry Operator
96,Bachelor's,Computer Science,"Counseling, Marketing",Mental Health Basics,84,Professor
97,Bachelor's,Science,"Counseling, Marketing",Tally ERP,88,Research Scientist
98,Bachelor's,Computer Science,"Accounting, Communication, MS Office",AWS Certified,72,Junior Accountant
99,Master's,Commerce,"Financial Analysis, Python",Tally ERP,81,Professor
